Disease,Disease state,Annual cost,Cohort,Undiscounted Lifetime cost,Net present lifetime cost
HIV,HIV_SC_1,0,Pediatric,0,0
HIV,HIV_SC_2,0,Pediatric,0,0
HIV,HIV_SC_3,0,Pediatric,0,0
HIV,ART_1,186.7,Pediatric,163.193125526133,147.946627220077
HIV,ART_2,64.5217950644179,Pediatric,58.7223433003776,51.9742438256999
HIV,ART_3,57.0151278969312,Pediatric,52.562182742231,45.1217052821246
HIV,ART_4,46.35,Pediatric,2357.81576133275,947.84671445538
HIV,AIDS_SC,150,Pediatric,11.2516504218955,9.82316570141482
HIV,AIDS_ART_1,771.26,Pediatric,28.8866016911785,24.4846942636383
HIV,AIDS_ART_2,394.081795064418,Pediatric,10.3199053156413,8.49272050895664
HIV,AIDS_RD,1196.35,Pediatric,72.0414733293759,49.5580282085485
HIV,HIV_death,0,Pediatric,0,0
HIV,death,0,Pediatric,0,0
HIV,HIV_SC_1,0,Adult,0,0
HIV,HIV_SC_2,0,Adult,0,0
HIV,HIV_SC_3,0,Adult,0,0
HIV,ART_1,186.7,Adult,142.465950612636,130.831898230737
HIV,ART_2,64.5217950644179,Adult,51.2861840759565,45.9890191330213
HIV,ART_3,57.0151278969312,Adult,47.0936829546347,40.8742438578164
HIV,ART_4,46.35,Adult,972.203925316719,558.789122703536
HIV,AIDS_SC,150,Adult,32.6149231438562,28.877251786291
HIV,AIDS_ART_1,771.26,Adult,83.2076743253673,71.5297757522621
HIV,AIDS_ART_2,394.081795064418,Adult,29.5157747476658,24.6351769480036
HIV,AIDS_RD,1196.35,Adult,192.376159568022,136.168925449285
HIV,HIV_death,0,Adult,0,0
HIV,death,0,Adult,0,0
HCV,acute_SC,0,Pediatric,0,0
HCV,acute_T,1154.5,Pediatric,57.725,57.725
HCV,no_infection,0,Pediatric,0,0
HCV,chronic_SC,0,Pediatric,0,0
HCV,chronic_T,1173.4,Pediatric,649.348354579169,505.225654999296
HCV,chronic_TF,523.4,Pediatric,635.476596879604,271.339601907979
HCV,CC_SC,0,Pediatric,0,0
HCV,CC_T,1208.6,Pediatric,53.3657434273155,38.4465414791243
HCV,CC_TF,558.6,Pediatric,74.8976450326438,29.4388342792104
HCV,DCC_SC,0,Pediatric,0,0
HCV,DCC_T,3291.4,Pediatric,19.6498604220063,13.6321661415904
HCV,DCC_TF,1657.4,Pediatric,58.1183367322283,21.5530808939017
HCV,HCC,4210.6,Pediatric,75.7911708758434,37.2300605711764
HCV,HCV_death,0,Pediatric,0,0
HCV,death,0,Pediatric,0,0
HCV,acute_SC,0,Adult,0,0
HCV,acute_T,1154.5,Adult,57.725,57.725
HCV,no_infection,0,Adult,0,0
HCV,chronic_SC,0,Adult,0,0
HCV,chronic_T,1173.4,Adult,597.840429448887,475.743742830941
HCV,chronic_TF,523.4,Adult,307.643918649594,178.677740361938
HCV,CC_SC,0,Adult,0,0
HCV,CC_T,1208.6,Adult,47.7275297010226,35.3451518039885
HCV,CC_TF,558.6,Adult,32.7603004572663,17.7730377498839
HCV,DCC_SC,0,Adult,0,0
HCV,DCC_T,3291.4,Adult,17.3065288393213,12.3683436451472
HCV,DCC_TF,1657.4,Adult,23.3786087333689,12.1061861087502
HCV,HCC,4210.6,Adult,43.7153370686544,27.6612702379111
HCV,HCV_death,0,Adult,0,0
HCV,death,0,Adult,0,0
HBV,acute_SC,0,Pediatric,0,0
HBV,acute_CM,134.46,Pediatric,6.723,6.723
HBV,imm_tol_SC,0,Pediatric,0,0
HBV,imm_tol_CM,137.68,Pediatric,127.978369247281,100.564472258122
HBV,carrier_SC,0,Pediatric,0,0
HBV,carrier_CM,0,Pediatric,0,0
HBV,imm_react_SC,0,Pediatric,0,0
HBV,imm_react_T,463.61,Pediatric,2228.22039764259,857.418267244162
HBV,chronic_SC,0,Pediatric,0,0
HBV,chronic_CM,179.3,Pediatric,202.359690474574,60.9167029807548
HBV,chronic_T,493.23,Pediatric,1148.4371605713,257.314794573372
HBV,CC_SC,0,Pediatric,0,0
HBV,CC_T,1116.34,Pediatric,3504.13127292138,822.749943130456
HBV,DCC_SC,0,Pediatric,0,0
HBV,DCC_T,2076.14,Pediatric,328.386784846122,77.6526123873067
HBV,HCC,4210.6,Pediatric,1287.7917652826,621.003433059945
HBV,no_infection,0,Pediatric,0,0
HBV,HBV_death,0,Pediatric,0,0
HBV,death,0,Pediatric,0,0
HBV,acute_SC,0,Adult,0,0
HBV,acute_CM,134.46,Adult,6.723,6.723
HBV,imm_tol_SC,0,Adult,0,0
HBV,imm_tol_CM,137.68,Adult,117.462531283682,94.8198396669098
HBV,carrier_SC,0,Adult,0,0
HBV,carrier_CM,0,Adult,0,0
HBV,imm_react_SC,0,Adult,0,0
HBV,imm_react_T,463.61,Adult,913.571481872308,511.878139138003
HBV,chronic_SC,0,Adult,0,0
HBV,chronic_CM,179.3,Adult,52.7462935736102,23.7147444141146
HBV,chronic_T,493.23,Adult,122.616570388858,48.6929676541771
HBV,CC_SC,0,Adult,0,0
HBV,CC_T,1116.34,Adult,445.533952093451,181.253530724348
HBV,DCC_SC,0,Adult,0,0
HBV,DCC_T,2076.14,Adult,42.5117034444088,17.1861212044608
HBV,HCC,4210.6,Adult,726.902623971915,454.77581579654
HBV,no_infection,0,Adult,0,0
HBV,HBV_death,0,Adult,0,0
HBV,death,0,Adult,0,0
